 num     #instances         #bytes  class name (module)
  84:          1077          75544  [Ljava.lang.String; (java.base@11.0.14)
  85:            36          74752  [Ljava.nio.ByteBuffer; (java.base@11.0.14)
  86:          1477          70896  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@11.0.14)
  87:          2880          69120  com.google.common.collect.EvictingQueue
  88:           852          68160  com.starrocks.catalog.ScalarFunction
  89:          1054          67456  java.util.zip.Inflater (java.base@11.0.14)
  90:          1039          66496  java.net.URL (java.base@11.0.14)
  91:          2021          64672  org.antlr.v4.runtime.atn.SingletonPredictionContext
  92:           484          61952  sun.nio.fs.UnixFileAttributes (java.base@11.0.14)
  93:          2518          61552  [Lcom.starrocks.catalog.Type;
  94:          2519          60456  com.starrocks.analysis.FunctionName
  95:          2499          59976  java.lang.invoke.ResolvedMethodName (java.base@11.0.14)
  96:           269          58104  com.starrocks.transaction.TransactionState
  97:          2391          57384  jdk.internal.jimage.ImageLocation (java.base@11.0.14)
  98:           716          57280  java.lang.reflect.Constructor (java.base@11.0.14)
  99:          3423          54768  org.sparkproject.guava.collect.MapMakerInternalMap$StrongValueReference
 100:           483          54096  jdk.nio.zipfs.JarFileSystem (jdk.zipfs@11.0.14)
 101:          1674          53568  java.lang.invoke.DirectMethodHandle (java.base@11.0.14)
 102:           605          53240  io.grpc.netty.shaded.io.netty.buffer.PooledUnsafeDirectByteBuf
 103:          2205          52920  java.util.concurrent.atomic.AtomicLong (java.base@11.0.14)
 104:          1627          52064  sun.nio.fs.UnixPath (java.base@11.0.14)
 105:          1296          51840  io.opencensus.trace.AutoValue_MessageEvent
 106:          2145          51480  java.util.concurrent.ConcurrentSkipListMap$Index (java.base@11.0.14)
 107:           491          51064  java.util.jar.JarFile$JarFileEntry (java.base@11.0.14)
 108:          2120          50880  com.google.gson.reflect.TypeToken
 109:           693          49896  io.netty.buffer.PoolSubpage
 110:          2048          49152  io.netty.util.HashedWheelTimer$HashedWheelBucket
 111:           589          48528  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.14)
 112:          1502          48064  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@11.0.14)
 113:          1492          47744  org.antlr.v4.runtime.atn.RuleTransition
 114:          1927          46248  sun.reflect.annotation.AnnotationInvocationHandler (java.base@11.0.14)
 115:          1154          46160  java.util.TreeMap$Entry (java.base@11.0.14)
 116:          2842          45472  java.util.HashSet (java.base@11.0.14)
 117:           925          44400  org.antlr.v4.runtime.atn.RuleStartState
 118:          1058          42320  java.io.FileDescriptor (java.base@11.0.14)
 119:           606          41208  [Ljava.lang.ref.SoftReference; (java.base@11.0.14)
 120:          1000          40000  io.opencensus.implcore.trace.export.InProcessSampledSpanStoreImpl$Bucket
 121:           623          39872  com.starrocks.catalog.Column
 122:           950          38000  org.antlr.v4.runtime.dfa.DFAState
 123:            65          37960  io.grpc.netty.shaded.io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 124:           925          37000  org.antlr.v4.runtime.atn.RuleStopState
 125:           487          35064  sun.nio.ch.FileChannelImpl (java.base@11.0.14)
 126:          1451          34824  java.util.LinkedList$Node (java.base@11.0.14)
 127:           483          34776  java.util.zip.ZipFile$Source (java.base@11.0.14)
 128:          1445          34680  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@11.0.14)
 129:          1075          34400  java.util.RegularEnumSet (java.base@11.0.14)
 130:           851          34040  org.antlr.v4.runtime.atn.BlockEndState
 131:           703          33744  org.antlr.v4.runtime.atn.BasicBlockStartState
 132:           985          31520  io.opencensus.trace.SpanContext
 133:          1296          31104  io.opencensus.implcore.trace.RecordEventsSpanImpl$EventWithNanoTime
 134:           483          30912  java.util.jar.JarFile (java.base@11.0.14)
 135:          1287          30888  io.opencensus.trace.SpanId
 136:           551          30856  java.io.FileCleanable (java.base@11.0.14)
 137:            50          28800  io.netty.util.internal.shaded.org.jctools.queues.MpscUnboundedArrayQueue
 138:           868          27776  java.lang.invoke.LambdaForm$Name (java.base@11.0.14)
 139:          1445          27648  [Lsun.reflect.generics.tree.TypeArgument; (java.base@11.0.14)
 140:           863          27616  org.antlr.v4.runtime.dfa.DFA
 141:            75          27600  java.lang.Thread (java.base@11.0.14)
 142:           575          27600  java.util.WeakHashMap (java.base@11.0.14)
 143:           483          27048  jdk.nio.zipfs.ZipFileSystem$END (jdk.zipfs@11.0.14)
 144:          1061          25488  [Ljava.lang.reflect.Type; (java.base@11.0.14)
 145:          1054          25296  java.util.zip.Inflater$InflaterZStreamRef (java.base@11.0.14)
 146:           350          25200  com.google.protobuf.DescriptorProtos$FieldDescriptorProto
 147:           623          24920  com.starrocks.catalog.ColumnStats
 148:           742          23744  java.util.LinkedList (java.base@11.0.14)
 149:           738          23616  sun.util.locale.BaseLocale (java.base@11.0.14)
 150:           738          23616  sun.util.locale.BaseLocale$Key (java.base@11.0.14)
 151:           982          23568  java.util.Collections$SynchronizedSet (java.base@11.0.14)
 152:           581          23240  java.lang.ref.Finalizer (java.base@11.0.14)
 153:           726          23232  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@11.0.14)
 154:           483          23184  jdk.internal.loader.URLClassPath$JarLoader (java.base@11.0.14)
 155:          1444          23104  sun.reflect.generics.tree.ClassTypeSignature (java.base@11.0.14)
 156:           952          22848  org.apache.thrift.meta_data.FieldMetaData
 157:           952          22848  org.apache.thrift.protocol.TField
 158:           562          22480  org.antlr.v4.runtime.atn.ATNConfigSet
 159:           349          22336  com.google.protobuf.Descriptors$FieldDescriptor
 160:           689          22048  io.opencensus.trace.TraceId
 161:           271          21680  java.net.URI (java.base@11.0.14)
 162:           538          21520  com.starrocks.transaction.TabletCommitInfo
 163:           335          21440  io.opencensus.implcore.trace.RecordEventsSpanImpl$AttributesWithCapacity
 164:           670          21440  java.lang.invoke.BoundMethodHandle$Species_L (java.base@11.0.14)
 165:           180          20992  [[I (java.base@11.0.14)
 166:           874          20976  io.opencensus.implcore.trace.RecordEventsSpanImpl$TraceEvents
 167:           849          20480  [Lorg.antlr.v4.runtime.atn.ATNConfig;
 168:           639          20448  java.lang.invoke.LambdaForm$NamedFunction (java.base@11.0.14)
 169:           359          20104  java.lang.invoke.MethodTypeForm (java.base@11.0.14)
 170:           621          19872  java.lang.ref.ReferenceQueue (java.base@11.0.14)
 171:           824          19776  io.grpc.netty.shaded.io.netty.util.Recycler$DefaultHandle
 172:           813          19512  java.lang.Class$AnnotationData (java.base@11.0.14)
 173:           485          19400  org.apache.logging.log4j.core.Logger
 174:           485          19400  org.apache.logging.log4j.core.Logger$PrivateConfig
 175:           449          17960  java.util.WeakHashMap$Entry (java.base@11.0.14)
 176:           180          17280  com.starrocks.load.routineload.RLTaskTxnCommitAttachment
 177:           527          16864  io.grpc.netty.shaded.io.netty.util.AsciiString
 178:           263          16832  java.nio.DirectByteBuffer (java.base@11.0.14)
 179:           522          16704  java.lang.Package (java.base@11.0.14)
 180:           690          16560  io.opencensus.common.AutoValue_Timestamp
